,LATITUD,LONGITUD
4004,-101.4555072,-101.4555072
4005,-116.8558063,-116.8558063
4006,-116.8558063,-116.8558063
4007,-100.1473516,-100.1473516
4008,-100.1473516,-100.1473516
4009,-100.1473516,-100.1473516
4010,-100.1473516,-100.1473516
4011,-100.1473516,-100.1473516
4012,-100.1473516,-100.1473516
4013,-100.1473516,-100.1473516
4014,-100.1473516,-100.1473516
4015,-100.1473516,-100.1473516
4016,-100.1473516,-100.1473516
4017,-100.1473516,-100.1473516
4018,-100.1473516,-100.1473516
4019,-100.1473516,-100.1473516
4020,-100.1473516,-100.1473516
4021,-100.1473214,-100.1473214
4022,-100.1473516,-100.1473516
4023,-100.1473516,-100.1473516
4024,-100.1473214,-100.1473214
4025,-100.1473214,-100.1473214
4026,-100.1473214,-100.1473214
4027,-100.1473214,-100.1473214
4028,-100.1473214,-100.1473214
4029,-100.1473214,-100.1473214
4030,-100.1473214,-100.1473214
4031,-100.1473214,-100.1473214
4032,-100.1473214,-100.1473214
4033,-101.4555072,-101.4555072
4034,-101.4555072,-101.4555072
4035,-101.4555072,-101.4555072
4036,-101.4555072,-101.4555072
4037,-101.4555072,-101.4555072
4038,-101.4555072,-101.4555072
4039,-101.4555072,-101.4555072
4040,-101.4555072,-101.4555072
4041,-101.4555072,-101.4555072
4043,-100.4341413,-100.4341413
4044,-100.4341413,-100.4341413
4045,-100.4341413,-100.4341413
4052,-100.4341413,-100.4341413
4053,-100.4341413,-100.4341413
4055,-100.4341413,-100.4341413
4056,-100.4341413,-100.4341413
4058,-100.4341413,-100.4341413
4059,-100.4341413,-100.4341413
4067,-100.4341413,-100.4341413
4070,-100.4341413,-100.4341413
4072,-100.4341413,-100.4341413
4073,-100.4341413,-100.4341413
4074,-100.4341417,-100.4341417
4075,-100.4341413,-100.4341413
4076,-100.4341413,-100.4341413
4077,-100.4341413,-100.4341413
4078,-100.4341413,-100.4341413
4079,-100.4341413,-100.4341413
4080,-100.4341413,-100.4341413
4081,-100.4341413,-100.4341413
4082,-100.4341413,-100.4341413
4083,-100.4341413,-100.4341413
4091,-100.4341413,-100.4341413
4092,-100.4341413,-100.4341413
